"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"B2_3x3_A6_2",0.0452155326470209,"Jul22","B2","3x3","A6","Ambient",FALSE,"B2_3x3_A6_2"
"B1_Open_A6",0.0417898183222737,"Jul22","B1","Open","A6","Enriched",FALSE,"B1_Open_A6"
"C2_3x3_A3",0.118313298112458,"Jul22","C2","3x3","A3","Ambient",FALSE,"C2_3x3_A3"
"C2_2x2_A2_2",0.0859792363707715,"Jul22","C2","2x2","A2","Ambient",FALSE,"C2_2x2_A2_2"
"B2_Open_A2",0.873744506125682,"Jul22","B2","Open","A2","Ambient",FALSE,"B2_Open_A2"
"B2_2x2_A2",0.42572405941234,"Jul22","B2","2x2","A2","Ambient",FALSE,"B2_2x2_A2"
"B2_1x1_A16",0.587630675065571,"Jul22","B2","1x1","A16","Ambient",FALSE,"B2_1x1_A16"
"B2_1x1_P17",0.812486164441103,"Jul22","B2","1x1","P17","Ambient",FALSE,"B2_1x1_P17"
"C2_2x2_A5",0.665600257160507,"Jul22","C2","2x2","A5","Ambient",FALSE,"C2_2x2_A5"
"C2_3x3_A6",0.0455008452335951,"Jul22","C2","3x3","A6","Ambient",FALSE,"C2_3x3_A6"
"C2_3x3_A2",0.0992562779790252,"Jul22","C2","3x3","A2","Ambient",FALSE,"C2_3x3_A2"
"B2_3x3_A2",0.0366443423621585,"Jul22","B2","3x3","A2","Ambient",FALSE,"B2_3x3_A2"
"C2_3x3_A9",0.837743266248088,"Jul22","C2","3x3","A9","Ambient",FALSE,"C2_3x3_A9"
"B2_2x2_A1",0.365789011347626,"Jul22","B2","2x2","A1","Ambient",FALSE,"B2_2x2_A1"
"C2_3x3_A7",0.0422310139247175,"Jul22","C2","3x3","A7","Ambient",FALSE,"C2_3x3_A7"
"B2_3x3_A7",0.04855111476912,"Jul22","B2","3x3","A7","Ambient",FALSE,"B2_3x3_A7"
"B2_Open_A8",0.0812399153746303,"Jul22","B2","Open","A8","Ambient",FALSE,"B2_Open_A8"
"B2_1x1_P1",0.0510559870315393,"Jul22","B2","1x1","P1","Ambient",FALSE,"B2_1x1_P1"
"B1_Open_A3",0.0458125816033949,"Jul22","B1","Open","A3","Enriched",FALSE,"B1_Open_A3"
"B2_Open_A6",0.114742276724905,"Jul22","B2","Open","A6","Ambient",FALSE,"B2_Open_A6"
"B2_1x1_A14",0.202115716060076,"Jul22","B2","1x1","A14","Ambient",FALSE,"B2_1x1_A14"
"B2_1x1_A6",0.0448364077205628,"Jul22","B2","1x1","A6","Ambient",FALSE,"B2_1x1_A6"
