"","dispersionnutrients","date","cage","herbivory","coral","treatment","is.neg","Samples"
"D3_Open_A3",0.687652421088311,"Jul22","D3","Open","A3","Enriched",FALSE,"D3_Open_A3"
"C4_1x1_A7",0.0563792803500889,"Jul22","C4","1x1","A7","Enriched",FALSE,"C4_1x1_A7"
"D3_1x1_A13",0.019328068486265,"Jul22","D3","1x1","A13","Enriched",FALSE,"D3_1x1_A13"
"D3_2x2_A3",0.0339282435963897,"Jul22","D3","2x2","A3","Enriched",FALSE,"D3_2x2_A3"
"D3_3x3_A1",0.0313426068942179,"Jul22","D3","3x3","A1","Enriched",FALSE,"D3_3x3_A1"
"C4_1x1_A12",0.115766587342089,"Jul22","C4","1x1","A12","Enriched",FALSE,"C4_1x1_A12"
"D3_Open_A6",0.0991515582489741,"Jul22","D3","Open","A6","Enriched",FALSE,"D3_Open_A6"
"C4_1x1_A1",0.0232699509934734,"Jul22","C4","1x1","A1","Enriched",FALSE,"C4_1x1_A1"
"D3_1x1_A3",0.0216656135173612,"Jul22","D3","1x1","A3","Enriched",FALSE,"D3_1x1_A3"
"C4_1x1_A8",0.0208170606869885,"Jul22","C4","1x1","A8","Enriched",FALSE,"C4_1x1_A8"
"C4_3x3_A2",0.0244036202764641,"Jul22","C4","3x3","A2","Enriched",FALSE,"C4_3x3_A2"
"C4_Open_A2",0.230108364638682,"Jul22","C4","Open","A2","Enriched",FALSE,"C4_Open_A2"
"C4_1x1_A3",0.0134800295742364,"Jul22","C4","1x1","A3","Enriched",FALSE,"C4_1x1_A3"
"D3_Open_A13",0.0397283248728466,"Jul22","D3","Open","A13","Enriched",FALSE,"D3_Open_A13"
"A3_Open_A8",0.368941876815394,"Jul22","A3","Open","A8","Enriched",FALSE,"A3_Open_A8"
"A4_1x1_A10",0.19810198951409,"Jul22","A4","1x1","A10","Ambient",FALSE,"A4_1x1_A10"
"A3_2x2_A3",0.0165594837916915,"Jul22","A3","2x2","A3","Enriched",FALSE,"A3_2x2_A3"
"A3_2x2_A8",0.0176177529434501,"Jul22","A3","2x2","A8","Enriched",FALSE,"A3_2x2_A8"
"A3_Open_A5",0.97765837337507,"Jul22","A3","Open","A5","Enriched",FALSE,"A3_Open_A5"
"A3_2x2_A1",0.143771945949019,"Jul22","A3","2x2","A1","Enriched",FALSE,"A3_2x2_A1"
"A3_1x1_A6",0.013849278006506,"Jul22","A3","1x1","A6","Enriched",FALSE,"A3_1x1_A6"
"A3_1x1_A4",0.0196745573827437,"Jul22","A3","1x1","A4","Enriched",FALSE,"A3_1x1_A4"
"A3_2x2_A2",0.129615171564652,"Jul22","A3","2x2","A2","Enriched",FALSE,"A3_2x2_A2"
"A3_3x3_A6",0.489295629197337,"Jul22","A3","3x3","A6","Enriched",FALSE,"A3_3x3_A6"
"A3_3x3_A4",0.0271599177398152,"Jul22","A3","3x3","A4","Enriched",FALSE,"A3_3x3_A4"
"A3_1x1_A5",0.0202738210620667,"Jul22","A3","1x1","A5","Enriched",FALSE,"A3_1x1_A5"
"A4_1x1_A6",0.612886272137252,"Jul22","A4","1x1","A6","Ambient",FALSE,"A4_1x1_A6"
"A3_Open_A1",0.0236764716450132,"Jul22","A3","Open","A1","Enriched",FALSE,"A3_Open_A1"
"A4_Open_A5",0.0604226083112131,"Jul22","A4","Open","A5","Ambient",FALSE,"A4_Open_A5"
"A3_Open_A3",0.0218194877577117,"Jul22","A3","Open","A3","Enriched",FALSE,"A3_Open_A3"
