"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV2863","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Celerinatantimonadaceae",NA,NA,NA
"ASV81","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA
"ASV3194","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae",NA,NA,NA
"ASV50","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae",NA,NA,NA
"ASV169","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA,NA
"ASV998","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family",NA,NA,NA
"ASV79","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA
"ASV4015","Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78","EPR3968-O8a-Bc78 Order",NA,NA,NA
"ASV4299","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae",NA,NA,NA
"ASV447","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","BD7-8 Order",NA,NA,NA
"ASV4448","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae",NA,NA,NA
"ASV538","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group","UBA10353 marine group Order",NA,NA,NA
"ASV348","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae",NA,NA,NA
"ASV3399","Bacteria","Proteobacteria","Gammaproteobacteria","CH2b56","CH2b56 Order",NA,NA,NA
"ASV253","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"ASV1860","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA,NA
"ASV4590","Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80","pItb-vmat-80 Order",NA,NA,NA
"ASV3746","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae",NA,NA,NA
"ASV2341","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536 Order",NA,NA,NA
"ASV1646","Bacteria","Proteobacteria","Gammaproteobacteria","UBA4486","UBA4486 Order",NA,NA,NA
"ASV4638","Bacteria","Proteobacteria","Gammaproteobacteria","JTB23","JTB23 Order",NA,NA,NA
"ASV802","Bacteria","Proteobacteria","Gammaproteobacteria","SZB50","SZB50 Order",NA,NA,NA
"ASV1488","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Gven-F17",NA,NA,NA
"ASV3792","Bacteria","Proteobacteria","Gammaproteobacteria","SS1-B-09-64","SS1-B-09-64 Order",NA,NA,NA
"ASV2287","Bacteria","Desulfobacterota","Desulfobacterota Phylum","Desulfobacterota Phylum","Desulfobacterota Phylum",NA,NA,NA
"ASV661","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",NA,NA,NA
"ASV99","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"ASV2653","Bacteria","Myxococcota","Polyangia","VHS-B4-70","VHS-B4-70 Order",NA,NA,NA
"ASV4857","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,NA,NA
"ASV346","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"ASV534","Bacteria","Myxococcota","Polyangia","PS-B29","PS-B29 Order",NA,NA,NA
"ASV1111","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales Order",NA,NA,NA
"ASV4073","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",NA,NA,NA
"ASV181","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,NA
"ASV873","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA,NA,NA
"ASV3121","Bacteria","NB1-j","NB1-j Phylum","NB1-j Phylum","NB1-j Phylum",NA,NA,NA
"ASV3096","Bacteria","Myxococcota","Polyangia","Polyangia Class","Polyangia Class",NA,NA,NA
"ASV3298","Bacteria","Myxococcota","Polyangia","Blfdi19","Blfdi19 Order",NA,NA,NA
"ASV1966","Bacteria","Myxococcota","Myxococcota Phylum","Myxococcota Phylum","Myxococcota Phylum",NA,NA,NA
"ASV1677","Bacteria","Desulfobacterota","Desulfarculia","Desulfarculales","Desulfarculaceae",NA,NA,NA
"ASV338","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,NA
"ASV5641","Bacteria","Bdellovibrionota","Oligoflexia","053A03-B-DI-P58","053A03-B-DI-P58 Order",NA,NA,NA
"ASV2173","Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadia Class","Desulfuromonadia Class",NA,NA,NA
"ASV3402","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"ASV3035","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacterales Order",NA,NA,NA
"ASV95","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
"ASV530","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",NA,NA,NA
"ASV2996","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",NA,NA,NA
"ASV1309","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA
"ASV453","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19 Order",NA,NA,NA
"ASV4117","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20 Order",NA,NA,NA
"ASV2181","Bacteria","MBNT15","MBNT15 Phylum","MBNT15 Phylum","MBNT15 Phylum",NA,NA,NA
