Samples,date,cage,herbivory,coral,treatment,is.neg,Shannon,Simpson,InvSimpson
A3_1x1_A4,Jul22,A3,1x1,A4,Enriched,FALSE,0.05907107347218357,0.01592199999999999,1.0161796117787412
A3_1x1_A5,Jul22,A3,1x1,A5,Enriched,FALSE,0.09372190947128413,0.027751999999999888,1.0285441574577678
A3_1x1_A6,Jul22,A3,1x1,A6,Enriched,FALSE,0.08400099532283338,0.02381999999999984,1.0244012374766946
A3_2x2_A1,Jul22,A3,2x2,A1,Enriched,FALSE,1.0886817615089885,0.31811999999999896,1.4665337009444455
A3_2x2_A2,Jul22,A3,2x2,A2,Enriched,FALSE,0.7872012504895894,0.25339399999999923,1.3393945400920955
A3_2x2_A3,Jul22,A3,2x2,A3,Enriched,FALSE,0.0930118895334515,0.025799999999999934,1.0264832683227263
A3_2x2_A4,Jul22,A3,2x2,A4,Enriched,FALSE,3.8987800802050456,0.957698,23.63954422958726
A3_2x2_A6,Jul22,A3,2x2,A6,Enriched,FALSE,0.3609472580816352,0.1334139999999998,1.1539535602929194
A3_2x2_A7,Jul22,A3,2x2,A7,Enriched,FALSE,0.3147880533504893,0.10082399999999991,1.1121293272952124
A3_2x2_A8,Jul22,A3,2x2,A8,Enriched,FALSE,0.20133164041495893,0.05513599999999963,1.0583533714904998
A3_3x3_A1,Jul22,A3,3x3,A1,Enriched,FALSE,2.4887273312335956,0.854168,6.857205551593614
A3_3x3_A2,Jul22,A3,3x3,A2,Enriched,FALSE,0.22480473127601264,0.06288799999999972,1.0671083072247498
A3_3x3_A4,Jul22,A3,3x3,A4,Enriched,FALSE,0.21942649427936703,0.07027999999999979,1.0755926515510044
A3_3x3_A6,Jul22,A3,3x3,A6,Enriched,FALSE,2.608565812612212,0.7423140000000004,3.8806920049983367
A3_3x3_A7,Jul22,A3,3x3,A7,Enriched,FALSE,0.20864490607857816,0.070322,1.0756412435273288
A3_Open_A1,Jul22,A3,Open,A1,Enriched,FALSE,0.10768348414321922,0.029735999999999763,1.030647328974382
A3_Open_A11,Jul22,A3,Open,A11,Enriched,FALSE,0.19655559590985033,0.0626819999999998,1.0668737824302956
A3_Open_A14,Jul22,A3,Open,A14,Enriched,FALSE,0.1721727747198623,0.0492999999999999,1.0518565267697484
A3_Open_A3,Jul22,A3,Open,A3,Enriched,FALSE,0.054912190388823896,0.015912000000000037,1.016169285673639
A3_Open_A4,Jul22,A3,Open,A4,Enriched,FALSE,0.15856119708893174,0.04731799999999975,1.049668199882017
A3_Open_A5,Jul22,A3,Open,A5,Enriched,FALSE,0.5221938630929541,0.14961199999999997,1.175933809037757
A3_Open_A6,Jul22,A3,Open,A6,Enriched,FALSE,1.0140817769065515,0.4474939999999997,1.8099350957274662
A3_Open_A7,Jul22,A3,Open,A7,Enriched,FALSE,0.09560244793943146,0.027745999999999937,1.0285378100784361
A3_Open_A8,Jul22,A3,Open,A8,Enriched,FALSE,2.1720930456594982,0.5984060000000011,2.490077042983717
A4_1x1_A10,Jul22,A4,1x1,A10,Ambient,FALSE,0.7001200595523466,0.3654839999999999,1.5760043875962149
A4_1x1_A2,Jul22,A4,1x1,A2,Ambient,FALSE,2.6457863664419983,0.871294,7.769645548770065
A4_1x1_A3,Jul22,A4,1x1,A3,Ambient,FALSE,0.7079472780756437,0.2765339999999995,1.3822349633569502
A4_1x1_A4,Jul22,A4,1x1,A4,Ambient,FALSE,0.2593025087541415,0.09119600000000005,1.1003472695982852
A4_1x1_A5,Jul22,A4,1x1,A5,Ambient,FALSE,2.9725536019615926,0.8262999999999998,5.757052389176736
A4_1x1_A6,Jul22,A4,1x1,A6,Ambient,FALSE,3.258509804684803,0.8704399999999999,7.718431614695885
A4_1x1_A9,Jul22,A4,1x1,A9,Ambient,FALSE,0.43324345015917176,0.12182399999999927,1.1387239004482008
A4_2x2_A1,Jul22,A4,2x2,A1,Ambient,FALSE,1.0066120621267707,0.304271999999999,1.4373433295770741
A4_2x2_A4,Jul22,A4,2x2,A4,Ambient,FALSE,0.3363674592592747,0.10098599999999969,1.1123297301265604
A4_2x2_A6,Jul22,A4,2x2,A6,Ambient,FALSE,3.3178512462413314,0.920876,12.638390374601887
A4_2x2_A8,Jul22,A4,2x2,A8,Ambient,FALSE,0.24109853825384256,0.10294400000000004,1.1147576071059109
A4_3x3_A10,Jul22,A4,3x3,A10,Ambient,FALSE,0.48881723508488667,0.15288799999999958,1.1804814475535697
A4_3x3_A3,Jul22,A4,3x3,A3,Ambient,FALSE,0.0799931132016753,0.021853999999999818,1.0223422679231933
A4_3x3_A4,Jul22,A4,3x3,A4,Ambient,FALSE,0.13265424413209692,0.03758399999999973,1.0390517198384064
A4_3x3_A7,Jul22,A4,3x3,A7,Ambient,FALSE,3.053273633928262,0.924856,13.30778239114234
A4_3x3_A8,Jul22,A4,3x3,A8,Ambient,FALSE,0.5519743806152028,0.16924199999999934,1.2037199762144923
A4_Open_A2,Jul22,A4,Open,A2,Ambient,FALSE,2.9404855507690026,0.909196,11.012730716708516
A4_Open_A5,Jul22,A4,Open,A5,Ambient,FALSE,0.08728326201879819,0.025779999999999914,1.0264621953973434
B1_1x1_A1,Jul22,B1,1x1,A1,Enriched,FALSE,2.762257107069653,0.90256,10.262725779967157
B1_1x1_A2,Jul22,B1,1x1,A2,Enriched,FALSE,2.3067524386851397,0.781512,4.576910402401961
B1_1x1_A3,Jul22,B1,1x1,A3,Enriched,FALSE,0.2593773908990768,0.0744159999999997,1.0803989697315421
