"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV1943","Bacteria","WS2","NA","NA","NA",NA,NA,NA
"ASV1472","Bacteria","Planctomycetota","OM190","NA","NA",NA,NA,NA
"ASV876","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family",NA,NA,NA
"ASV169","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA,NA
"ASV486","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,NA
"ASV79","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA
"ASV489","Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78","NA",NA,NA,NA
"ASV5074","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group","NA",NA,NA,NA
"ASV580","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","NA",NA,NA,NA
"ASV544","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA",NA,NA,NA
"ASV348","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae",NA,NA,NA
"ASV1629","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae",NA,NA,NA
"ASV253","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"ASV2111","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA,NA
"ASV3746","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae",NA,NA,NA
"ASV366","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","NA",NA,NA,NA
"ASV1646","Bacteria","Proteobacteria","Gammaproteobacteria","UBA4486","NA",NA,NA,NA
"ASV1747","Bacteria","Proteobacteria","Gammaproteobacteria","SS1-B-07-19","NA",NA,NA,NA
"ASV802","Bacteria","Proteobacteria","Gammaproteobacteria","SZB50","NA",NA,NA,NA
"ASV5652","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","NA",NA,NA,NA
"ASV5248","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Gven-F17",NA,NA,NA
"ASV6754","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae",NA,NA,NA
"ASV661","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",NA,NA,NA
"ASV99","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae",NA,NA,NA
"ASV2653","Bacteria","Myxococcota","Polyangia","VHS-B4-70","NA",NA,NA,NA
"ASV6292","Bacteria","Myxococcota","Polyangia","UASB-TL25","NA",NA,NA,NA
"ASV6129","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,NA,NA
"ASV346","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA,NA
"ASV534","Bacteria","Myxococcota","Polyangia","PS-B29","NA",NA,NA,NA
"ASV4891","Bacteria","Desulfobacterota","Desulfuromonadia","NA","NA",NA,NA,NA
"ASV3393","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","NA",NA,NA,NA
"ASV2329","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadaceae",NA,NA,NA
"ASV3123","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",NA,NA,NA
"ASV181","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,NA
"ASV1636","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA,NA,NA
"ASV3121","Bacteria","NB1-j","NA","NA","NA",NA,NA,NA
"ASV3096","Bacteria","Myxococcota","Polyangia","NA","NA",NA,NA,NA
"ASV3298","Bacteria","Myxococcota","Polyangia","Blfdi19","NA",NA,NA,NA
"ASV1677","Bacteria","Desulfobacterota","Desulfarculia","Desulfarculales","Desulfarculaceae",NA,NA,NA
"ASV1703","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,NA
"ASV2525","Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geopsychrobacteraceae",NA,NA,NA
"ASV2483","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA,NA
"ASV95","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
